číslo,název
506761,Alojzov,X
589268,Bedihošť,X
589276,Bílovice-Lutotín,X
589284,Biskupice,X
589292,Bohuslavice,X
589306,Bousín,X
589314,Brodek u Konice,X
589322,Brodek u Prostějova,X
589331,Březsko,X
589349,Budětsko,X
589357,Buková,X
589365,Čehovice,X
589381,Čechy pod Kosířem,X
589390,Čelčice,X
589403,Čelechovice na Hané,X
589420,Dětkovice,X
589438,Dobrochov,X
589446,Dobromilice,X
589454,Doloplazy,X
589462,Drahany,X
558419,Držovice,X
589489,Dřevnovice,X
589497,Dzbel,X
549967,Hačky,X
589501,Hluchov,X
589519,Horní Štěpánov,X
589527,Hradčany-Kobeřice,X
589535,Hrdibořice,X
589543,Hrubčice,X
543543,Hruška,X
589560,Hvozd,X
589578,Ivaň,X
589586,Jesenec,X
Obec,Výběrokrsku
číslo,název
589594,Kladky,X
589608,Klenovice na Hané,X
589616,Klopotovice,X
589624,Konice,X
589632,Kostelec na Hané,X
589641,Koválovice-Osíčany,X
589659,Kralice na Hané,X
589667,Krumsín,X
589675,Laškov,X
589683,Lešany,X
589691,Lipová,X
589705,Ludmírov,X
589713,Malé Hradisko,X
589721,Mořice,X
589730,Mostkovice,X
589748,Myslejovice,X
589756,Němčice nad Hanou,X
589764,Nezamyslice,X
589772,Niva,X
589799,Obědkovice,X
589802,Ohrozim,X
589811,Ochoz,X
589829,Olšany u Prostějova,X
589837,Ondratice,X
589845,Otaslavice,X
589853,Otinoves,X
557196,Pavlovice u Kojetína,X
589870,Pěnčín,X
589888,Pivín,X
589896,Plumlov,X
549983,Polomí,X
589250,Prostějov,X
589918,Prostějovičky,X
Obec,Výběrokrsku
číslo,název
589926,Protivanov,X
589934,Přemyslovice,X
589942,Ptení,X
589951,Raková u Konice,X
589969,Rakůvka,X
589977,Rozstání,X
506770,Seloutky,X
589993,Skalka,X
590002,Skřípov,X
590011,Slatinky,X
590029,Smržice,X
590045,Srbce,X
590053,Stařechovice,X
590061,Stínava,X
590070,Stražisko,X
590088,Suchdol,X
590096,Šubířov,X
590100,Tištín,X
590118,Tvorovice,X
590126,Určice,X
590134,Víceměřice,X
590142,Vícov,X
544710,Vincencov,X
590151,Vitčice,X
590177,Vranovice-Kelčice,X
590185,Vrbátky,X
590193,Vrchoslavice,X
590207,Vřesovice,X
590215,Výšovice,X
590223,Zdětín,X
590240,Želeč,X
-,-,-
-,-,-
